item_name,item_kind,source_type,source_path,category,source_present_in_repo,true_dynamic_exogenous,already_integrated,spatial_granularity,temporal_granularity,spatial_alignment_ready,temporal_history_ready,leak_safe_now,can_build_new_a5_features_now,primary_blocker,notes
deterministic_panel_calendar,source,calendar,already embedded in modeling tables,usable_now_dynamic_exogenous,True,False,True,edge_id + temporal_bin_4h + is_weekend,deterministic calendar,True,True,True,False,already integrated; does not solve the richer dynamic-exogenous gap,"Useful baseline temporal context, but not the new true dynamic source needed after A4/B4."
municipal_traffic_tramos_csv,source,traffic,bases de datos/estat-transit-temps-real-estado-trafico-tiempo-real.csv,not_usable_now,True,True,False,traffic tramo,snapshot-like / no historical series in repo,False,False,False,False,wrong geography plus no usable historical time series plus no edge alignment,Header and coordinates point to Valencia-area geometry; M11 confirmed bbox overlap FALSE and 0 linked tramo-edge pairs.
geofabrik_osm_traffic_layers,source,traffic,bases de datos/network/madrid-latest-free-shp/gis_osm_traffic*.shp,usable_with_processing,True,False,False,static traffic-control geometries,static,False,False,False,False,not dynamic by nature; would only support richer static context after geospatial joins,"Promising for static enrichment, not for true dynamic exogenous context."
standalone_weather_feed,source,weather,not present in repo,not_usable_now,False,True,False,station/grid + timestamp,dynamic,False,False,False,False,missing source,No standalone historical or operational weather feed exists in the repository.
event_calendar_feed,source,calendar,not present in repo,not_usable_now,False,True,False,event + place + timestamp,dynamic/scheduled,False,False,False,False,missing source,No event calendar with stable location and time coverage is available in the repository.
m11_edge_sensor_crosswalk,source,traffic,outputs/data/m11_edge_sensor_crosswalk.csv,unsafe_due_to_leakage,True,False,False,edge + sensor,historical accident-backed,True,False,False,False,accident-backed construction,Useful as methodological reference only; not a direct dynamic exogenous source.
m11_historical_exposure_adjusted,source,traffic,outputs/data/m11_historical_exposure_adjusted.csv,unsafe_due_to_leakage,True,False,False,edge,historical score,True,False,False,False,target-derived historical score,Not a true exogenous feed and cannot be used as a new dynamic predictor source.
m12_edge_context_dynamic_base,source,traffic,outputs/data/m12_edge_context_dynamic_base.csv,unsafe_due_to_leakage,True,False,False,edge + temporal_bin_4h + is_weekend,historical accident-backed aggregation,True,False,False,False,full-period accident-backed aggregation,"Useful only as a blueprint of desired schema, never as a direct source for true dynamic exogenous context."
prior_mean_real_traffic_state_edge_bin_1y,candidate_feature,traffic,requires historical dynamic traffic feed aligned to Madrid network,usable_with_processing,False,True,False,edge_id + temporal_bin_4h + is_weekend,lagged 1y summary,False,False,False,False,missing historical traffic feed and edge crosswalk,Would aggregate only timestamps < analysis_year and keep support_n + fallback level.
prior_mean_real_traffic_state_edge_bin_recent_90d,candidate_feature,traffic,requires timestamped traffic history,usable_with_processing,False,True,False,edge_id + temporal_bin_4h + is_weekend,lagged recent window,False,False,False,False,missing timestamped traffic history,Better candidate for A5/B5 than further history-only accident lags once feed exists.
prior_weather_precipitation_edge_bin_1y,candidate_feature,weather,requires historical weather feed,usable_with_processing,False,True,False,edge_id + temporal_bin_4h + is_weekend,lagged 1y summary,False,False,False,False,missing weather feed and spatial interpolation layer,Would need station/grid -> edge assignment and timestamp history before A5/B5.
prior_event_intensity_edge_bin_1y,candidate_feature,calendar,requires event calendar with locations,usable_with_processing,False,True,False,edge_id + temporal_bin_4h + is_weekend,lagged scheduled-event summary,False,False,False,False,missing event source,Could complement traffic/weather once a spatially referenced event feed exists.
