registry_section,item_name,item_kind,source_category,source,definition,granularity,temporal_scope,coverage_pct,missing_pct,leak_safe_reason,status_note
source_audit,m8_road_network_edges.csv,source,usable_now_exogenous,outputs/data/m8_road_network_edges.csv,Canonical edge-level OSM attributes already exported to CSV.,edge,static,,,Source-level classification; not a direct feature row.,Usable now as the main static exogenous source.
source_audit,m8_road_network_nodes.csv,source,usable_now_exogenous,outputs/data/m8_road_network_nodes.csv,Canonical node-level topology exported to CSV.,node,static,,,Source-level classification; not a direct feature row.,Usable now to derive edge endpoint topology.
source_audit,training_table_calendar_panel,source,usable_now_exogenous,outputs/modeling/training_table_with_contextual_lag_safe_features.parquet,Deterministic panel calendar fields already present in the modeling table.,edge_id + analysis_year + temporal_bin_4h + is_weekend,temporal,,,Source-level classification; not a direct feature row.,Usable now because these fields are deterministic and leak-safe.
source_audit,geofabrik_osm_traffic_layers,source,usable_with_processing,bases de datos/network/madrid-latest-free-shp/gis_osm_traffic*.shp,"Static OSM traffic-control layers such as crossings, tunnel mouths or related road objects.",line / polygon / point depending on layer,static,,,Source-level classification; not a direct feature row.,"Promising, but current Python environment lacks geospatial stack for spatial joins."
source_audit,geofabrik_osm_landuse_buildings_pois_transport,source,usable_with_processing,"bases de datos/network/madrid-latest-free-shp/gis_osm_{landuse,buildings,pois,transport,pofw,places}*.shp",Static built-environment and activity layers from the same OSM extract.,point / polygon,static,,,Source-level classification; not a direct feature row.,"Promising for POI density, land-use mix or transit proximity once spatial preprocessing is available."
source_audit,municipal_traffic_tramos_csv,source,not_usable_now,bases de datos/estat-transit-temps-real-estado-trafico-tiempo-real.csv,Municipal line layer of traffic tramos.,traffic tramo,dynamic,,,Source-level classification; not a direct feature row.,M11 already showed bbox mismatch with the canonical network and zero linked pairs.
source_audit,communications_cartography_csv,source,not_usable_now,bases de datos/cartografia-base-comunicacions-comunicaciones.csv,"Communications cartography, not clearly aligned with road-risk modeling.",mixed cartographic elements,static,,,Source-level classification; not a direct feature row.,Not road-risk-specific and not cleanly parseable in the current workflow.
source_audit,dgt_road_type_catalog_metadata,source,not_usable_now,bases de datos/a05003423-clasificacion-del-tipos-de-vias-de-la-direccion-general-de-trafico-dgt-de-espana-istac-cl_dgt_tipos_vias.csv,"Dataset catalog metadata, not direct edge-level data.",catalog metadata,static,,,Source-level classification; not a direct feature row.,Not directly usable as modeling context features.
source_audit,standalone_weather_feed,source,not_usable_now,not present in repo,Operational weather feed aligned to the modeling unit.,edge + time,dynamic,,,Source-level classification; not a direct feature row.,No standalone leak-safe weather source is currently available in the repository.
source_audit,m11_edge_sensor_crosswalk,source,unsafe_due_to_leakage,outputs/data/m11_edge_sensor_crosswalk.csv,Edge-sensor crosswalk supported by matched accidents.,edge + sensor,historical,,,Source-level classification; not a direct feature row.,Accident-backed and therefore not usable as a direct predictor block.
source_audit,m11_edge_exposure_baseline,source,unsafe_due_to_leakage,outputs/data/m11_edge_exposure_baseline.csv,Exposure proxy baseline built from accident-supported evidence.,edge,historical,,,Source-level classification; not a direct feature row.,"Useful as analytical reference, not as a direct exogenous predictor."
source_audit,m11_historical_exposure_adjusted,source,unsafe_due_to_leakage,outputs/data/m11_historical_exposure_adjusted.csv,Exposure-adjusted historical score built from historical accidents.,edge,historical,,,Source-level classification; not a direct feature row.,A score derived from historical outcomes; not a direct exogenous predictor.
source_audit,m12_edge_context_dynamic_base,source,unsafe_due_to_leakage,outputs/data/m12_edge_context_dynamic_base.csv,Accident-backed dynamic/contextual base.,edge + temporal_bin_4h + is_weekend,historical,,,Source-level classification; not a direct feature row.,"Useful only after leak-safe reconstruction, never as a direct full-period predictor block."
source_audit,accident_backed_meteorology_in_m12,source,unsafe_due_to_leakage,outputs/data/m12_edge_context_dynamic_base.csv,Meteorology observations attached through accident-backed context support.,edge + temporal_bin_4h + is_weekend,historical,,,Source-level classification; not a direct feature row.,Not a standalone exogenous weather feed.
feature,exog_road_class_hierarchy_score,feature,usable_now_exogenous,road_network_edges,Hierarchical score derived from OSM road_class.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_road_class_is_link_flag,feature,usable_now_exogenous,road_network_edges,Flag for *_link road classes.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_road_class_is_major_flag,feature,usable_now_exogenous,road_network_edges,Flag for motorway/trunk/primary classes and links.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_road_class_is_local_flag,feature,usable_now_exogenous,road_network_edges,Flag for residential/service/living_street/unclassified classes.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_has_road_ref_flag,feature,usable_now_exogenous,road_network_edges,Flag for edges with a populated road reference.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_has_street_name_flag,feature,usable_now_exogenous,road_network_edges,Flag for edges with a populated street name.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_maxspeed_kph,feature,usable_now_exogenous,road_network_edges,Parsed maxspeed in km/h; zero treated as missing.,edge,static,49.07595953814487,50.92404046185513,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_maxspeed_missing_flag,feature,usable_now_exogenous,road_network_edges,Flag for missing/zero maxspeed.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_maxspeed_kph_imputed_by_road_class,feature,usable_now_exogenous,road_network_edges,Maxspeed imputed by road_class median and then global median.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_maxspeed_ge70_flag,feature,usable_now_exogenous,road_network_edges,Flag for fast roads with maxspeed >= 70 km/h.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_maxspeed_le30_flag,feature,usable_now_exogenous,road_network_edges,Flag for low-speed roads with maxspeed <= 30 km/h.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_oneway_code_t_flag,feature,usable_now_exogenous,road_network_edges,Flag for raw oneway code T.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_oneway_code_b_flag,feature,usable_now_exogenous,road_network_edges,Flag for raw oneway code B.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_bridge_flag,feature,usable_now_exogenous,road_network_edges,Flag for bridge edges.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_tunnel_flag,feature,usable_now_exogenous,road_network_edges,Flag for tunnel edges.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_layer_abs,feature,usable_now_exogenous,road_network_edges,Absolute vertical layer offset from OSM.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_nonzero_layer_flag,feature,usable_now_exogenous,road_network_edges,Flag for non-zero vertical layer.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_from_node_degree,feature,usable_now_exogenous,road_network_nodes,Degree of the from-node.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_to_node_degree,feature,usable_now_exogenous,road_network_nodes,Degree of the to-node.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_node_degree_mean,feature,usable_now_exogenous,road_network_nodes,Mean endpoint degree.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_node_degree_max,feature,usable_now_exogenous,road_network_nodes,Max endpoint degree.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_node_degree_min,feature,usable_now_exogenous,road_network_nodes,Min endpoint degree.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_edge_touches_dead_end_flag,feature,usable_now_exogenous,road_network_nodes,Flag for edges touching a degree-1 node.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_edge_touches_intersection_flag,feature,usable_now_exogenous,road_network_nodes,Flag for edges touching a node with degree >= 3.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
feature,exog_edge_between_intersections_flag,feature,usable_now_exogenous,road_network_nodes,Flag for edges whose both endpoints have degree >= 3.,edge,static,100.0,0.0,"Derived only from static canonical network attributes, deterministic calendar logic, or node topology available before every observation.",Built in this phase.
