registry_section,column_name,audit_bucket,source_phase,rebuild_status,definition_or_reason,support_column,missing_flag_column,fallback_level_column
current_table_audit,accident_count,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,accidents_per_km_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,Full-period weighted density; not leak-safe as predictor.,,,
current_table_audit,accidents_per_km_raw_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,Full-period density; not leak-safe as predictor.,,,
current_table_audit,analysis_year,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,context_data_quality_flag_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M12 full-period contextual quality; would need cutoff-specific rebuild.,,,
current_table_audit,context_observation_n_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M12 full-period contextual support; rebuilt safely in this phase instead.,,,
current_table_audit,context_reference_available,unsafe_due_to_leakage,training_table_with_lag_safe_features,not_applicable,Administrative flag tied to full-period contextual references.,,,
current_table_audit,control_sampling_rule,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,control_support_rule,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,control_template_source_edge_id,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,dynamic_context_signal_prelim_full_period_reference,potentially_rebuildable_as_lagged,training_table_with_lag_safe_features,not_used_directly_in_this_phase,M12 full-period contextual signal; rebuilt safely in this phase instead.,,,
current_table_audit,edge_accident_count_prior_1y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_accident_count_prior_2y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_accident_count_prior_change_1y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_accident_count_prior_recent_3y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_accident_count_prior_total,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_active_years_prior_recent_3y,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
current_table_audit,edge_bin_accident_count_prior,safe_now,training_table_with_lag_safe_features,kept_as_is,Current panel column considered safe to keep in the table at this stage.,,,
